Entity	Entity Type	Entity Subtype	Geometric Rendering	Code	Remarks
		Linear Target	Line	240701	
		Linear Smoke Target	Line	240702	
		Final Protective Fire (FPF)	Line	240703	
	Area Targets			240800	For training or hierarchical purposes
		Area Target	Area	240801	
		Rectangular Target	Area	240802	
		Circular Target	Area	240803	
		Rectangular Target - Single Target	Area	240804	
		Series or Groups of Targets	Area	240805	
		Smoke	Area	240806	
		{reserved for future use}		240807	Reserved for future use 
		Bomb Area	Area	240808	
	Fire Support Station		Point	240900	
	Fire Support Area			241000	For training or hierarchical purposes
		Irregular	Area	241001	
		Rectangular	Area	241002	
		Circular	Area	241003	
	Artillery Target Intelligence Zone			241100	For training or hierarchical purposes
		Irregular	Area	241101	
		Rectangular	Area	241102	
		Circular	Area	241103	
	Call for Fire Area			241200	For training or hierarchical purposes
		Irregular	Area	241201	
		Rectangular	Area	241202	
		Circular	Area	241203	
	Censor Zone			241300	For training or hierarchical purposes
		Irregular	Area	241301	
		Rectangular	Area	241302	
		Circular	Area	241303	
	Critical Friendly Zone			241400	For training or hierarchical purposes
		Irregular	Area	241401	
		Rectangular	Area	241402	
		Circular	Area	241403	
	Dead Space Area			241500	For training or hierarchical purposes
		Irregular	Area	241501	
		Rectangular	Area	241502	
		Circular	Area	241503	
	Sensor Zone			241600	For training or hierarchical purposes
		Irregular	Area	241601	
		Rectangular	Area	241602	
		Circular	Area	241603	
	Target Build-up Area			241700	For training or hierarchical purposes
		Irregular	Area	241701	
		Rectangular	Area	241702	
		Circular	Area	241703	
	Target Value Area			241800	For training or hierarchical purposes
		Irregular	Area	241801	
		Rectangular	Area	241802	
		Circular	Area	241803	
	Zone of Responsibility			241900	For training or hierarchical purposes
		Irregular	Area	241901	
		Rectangular	Area	241902	
		Circular	Area	241903	
	Terminally Guided Munition Footprint (TGMF)		Area	242000	
	Weapon/Sensor Range Fan, Circular		Area	242100	
	Weapon/Sensor Range Fan, Sector		Area	242200	
	Kill Box			242300	For training or hierarchical purposes
		Irregular, Blue	Area	242301	
		Rectangular, Blue	Area	242302	
		Circular, Blue	Area	242303	
		Irregular, Purple	Area	242304	
		Rectangular, Purple	Area	242305	
		Circular, Purple	Area	242306	
Fire Points				250000	For training or hierarchical purposes
	Firing Point		Point	250100	
	Hide Point		Point	250200	
	Launch Point		Point	250300	
	Reload Point		Point	250400	
	Survey Control Point		Point	250500	
Fire Lines				260000	For training or hierarchical purposes
	Fire Support Coordination Line (FSCL)		Line	260100	
	Coordinated Fire Line (CFL)		Line	260200	
	No Fire Line		Line	260300	
	Battlefield Coordination Line		Line	260400	
	Restrictive Fire Line		Line	260500	
	Munition Flight Path		Line	260600	
Protection Areas				270000	For training or hierarchical purposes
	Obstacle Belt		Area	270100	
	Obstacle Zone		Area	270200	
	Obstacle Free Zone		Area	270300	
	Obstacle Restricted Zone		Area	270400	
	Obstacle Effects		Area	270500	For training or hierarchical purposes
		Block	Area	270501	
		Disrupt	Area	270502	
		Fix	Line	270503	
		Turn	Line	270504	
	Obstacle Bypass			270600	For training or hierarchical purposes
		Easy	Point	270601	
		Difficult	Point	270602	
		Impossible	Point	270603	
	Minefield			270700	For training or hierarchical purposes
		Completed	Point	270701	
		Dummy		270705	
		Dummy Dynamic		270706	
		Dynamic Depiction	Area	270707	
	Mined Area		Area	270800	
	Decoy Mined Area			270900	
		Fenced		270901	
	Unexploded Explosive Ordnance (UXO) Area		Area	271000	
	Bridge or Gap		Line	271100	
	Roadblocks, Craters and Blown Bridges			271200	For training or hierarchical purposes
		Planned	Line	271201	
		Explosives, State of Readiness 1 (Safe)	Line	271202	
		Explosives, State of Readiness 2 (armed but passable)	Line	271203	
		Roadblock Complete (Executed)	Line	271204	
	Assault Crossing		Line	271300	
	Bridge			271400	
	Ford Easy		Line	271500	
	Ford Difficult		Line	271600	
	Biological Contaminated Area		Area	271700	
		Toxic Industrial Material	Area	271701	
	Chemical Contaminated Area		Area	271800	
		Toxic Industrial Material	Area	271801	
	Nuclear Contaminated Area		Area	271900	
	Radiological		Area	272000	
	Contaminated Area			Area	
		Toxic Industrial Material	Area	272001	
	Minimum Safe Distance Zone		Area	272100	
	Radiation Dose Rate Contour Lines		Area	272200	
Protection Points				280000	For training or hierarchical purposes
	Abatis		Point	280100	
	Antipersonnel Mine		Point	280200	
		Antipersonnel Mine with Directional Effects		280201	
	Antitank Mine		Point	280300	
	Antitank Mine with Antihandling Device		Point	280400	
	Wide Area Antitank Mine		Point	280500	
	Unspecified Mine		Point	280600	
	Booby Trap		Point	280700	
	Engineer Regulating Point		Point	280800	
	Shelter		Point	280900	
	Shelter Above Ground		Point	281000	
	Below Ground Shelter		Point	281100	
	Fort		Point	281200	
	Chemical Event		Point	281300	
		Toxic Industrial Material	Point	281301	
	Biological Event		Point	281400	
		Toxic Industrial Material	Point	281401	
	Nuclear Event		Point	281500	
	Nuclear Fallout Producing Event		Point	281600	
	Radiological		Point	281700	
		Toxic Industrial Material	Point	281701	
	General Decontamination Point/Site		Point	281800	
		Alternate	Point	281801	
		Equipment	Point	281802	
		Troop	Point	281803	
		Equipment/Troop	Point	281804	
		Operational	Point	281805	
		Thorough	Point	281806	
		Main Equipment	Point	281807	
		Forward Troop	Point	281808	
		Wounded Personnel	Point	281809	
	Tetrahedrons, Dragons Teeth, and Other Similar Obstacles			281900	For training or hierarchical purposes
		Fixed and Prefabricated	Point	281901	
		Movable	Point	281902	
		Movable and Prefabricated	Point	281903	
	Vertical Obstructions			282000	For training or hierarchical purposes
		Tower, Low	Point	282001	
		Tower, High	Point	282002	
		Overhead Wire	Line	282003	
Protection Lines				290000	For training or hierarchical purposes
	Obstacle Line		Line	290100	
	Antitank Obstacles			290200	For training or hierarchical purposes
		Under Construction	Line	290201	
		Completed	Line	290202	
		Reinforced, with Antitank Mines	Line	290203	
		Antitank Wall	Line	290204	
	Wire Obstacles			290300	For training or hierarchical purposes
		Unspecified Wire	Line	290301	
		Single Fence Wire	Line	290302	
		Double Fence Wire	Line	290303	
		Double Apron Fence	Line	290304	
		Low Wire Fence	Line	290305	
		High Wire Fence	Line	290306	
		Single Concertina	Line	290307	
		Double Strand Concertina	Line	290308	
		Triple Strand Concertina	Line	290309	
	Mine Cluster		Area	290400	
	Trip Wire		Line	290500	
	Lane		Line	290600	
	Ferry		Line	290700	
	Raft Site		Line	290800	
	Fortified Line		Line	290900	
	Fortified Position		Line	291000	
Intelligence Lines				300000	For training or hierarchical purposes
	Intelligence Coordination Line		Line	300100	
Sustainment Areas				310000	For training or hierarchical purposes
	Detainee Holding Area		Area	310100	
	Enemy Prisoner of War Holding Area		Area	310200	
	Forward Arming and Refuelling Point		Area	310300	
	Refugee Holding Area		Area	310400	
	Regimental Support Area		Area	310500	
	Brigade Support Area		Area	310600	
	Division Support Area		Area	310700	
Sustainment Points				320000	For training or hierarchical purposes
	Ambulance Points		Point	320100	For training or hierarchical purposes
		Ambulance Exchange Point	Point	320101	
		Ambulance Control Point	Point	320102	
		Ambulance Load Point	Point	320103	
		Ambulance Relay Point	Point	320104	
	Ammunition Supply Point		Point	320200	
	Ammunition Transfer and Holding Point		Point	320310	
	Cannibalization Point		Point	320400	
	Casualty Collection Point		Point	320500	
	Civilian Collection Point		Point	320600	
	Detainee Collection Point		Point	320700	
	Enemy Prisoner of War Collection Point		Point	320800	
	Logistics Release Point		Point	320900	
	Maintenance Collection Point (MCP)		Point	321000	
	Medical Evacuation Point (MEDEVAC) Pick-Up Point		Point	321100	
	Rearm, Refuel and Resupply Point (R3P)		Point	321200	
	Refuel on the Move (ROM) Point		Point	321300	
	Traffic Control Post (TCP)		Point	321400	
	Trailer Transfer Point (TTP)		Point	321500	
	Unit Maintenance Collection Point (UNCP)		Point	321600	
	General Supply Point		Point	321700	
		NATO Class I Supply Point	Point	321701	
		NATO Class II Supply Point	Point	321702	
		NATO Class III Supply Point	Point	321703	
		NATO Class IV Supply Point	Point	321704	
		NATO Class V Supply Point	Point	321705	
		NATO Multiple Class Supply Point	Point	321706	
		US Class I Supply Point	Point	321707	
		US Class II Supply Point	Point	321708	
		US Class III Supply Point	Point	321709	
		US Class IV Supply Point	Point	321710	
		US Class V Supply Point	Point	321711	
		US Class VI Supply Point	Point	321712	
		US Class VII Supply Point	Point	321713	
		US Class VIII Supply Point	Point	321714	
		US Class IX Supply Point	Point	321715	
		US Class X Supply Point	Point	321716	
	Medical Supply Point		Point	321800	
Sustainment Lines				330000	For training or hierarchical purposes
	Moving Convoy		Line	330100	
	Halted Convoy		Line	330200	
	Main Supply Route		Line	330300	
		One Way Traffic	Line	330301	
		Two Way Traffic	Line	330302	
		Alternating Traffic	Line	330303	
	Alternate Supply Route		Line	330400	
		One Way Traffic	Line	330401	
		Two Way Traffic	Line	330402	
		Alternating Traffic	Line	330403	
Mission Tasks				340000	
	Block		Area	340100	
	Breach		Line	340200	
	Bypass		Point	340300	
	Canalize		Point	340400	
	Clear		Line	340500	
	Counterattack		Line	340600	
	Counterattack by Fire		Line	340700	
	Delay		Line	340800	
	Destroy		Point	340900	
	Disrupt		Area	341000	
	Fix		Line	341100	
	Follow and Assume		Line	341200	
	Follow and Support		Line	341300	
	Interdict		Point	341400	
	Isolate		Area	341500	
	Neutralize		Point	341600	
	Occupy		Area	341700	
	Penetrate		Area	341800	
	Relief in Place (RIP)		Area	341900	
	Retire/Retirement		Line	342000	
	Secure		Area	342100	
	Security			342200	
		Cover	Line	342201	
		Guard	Line	342202	
		Screen	Line	342203	
	Seize		Line	342300	
	Withdraw		Line	342400	
	Withdraw Under Pressure		Line	342500	
Space Debris				350000	
	Man Made Space Debris			350100	
		Man Made Space Debris Small	Point	350101	
		Man Made Space Debris Medium	Point	350102	
		Man Made Space Debris Big	Point	350103	
	Natural Space Debris			350200	
		Natural Space Debris Small	Point	350201	
		Natural Space Debris Medium	Point	350202	
		Natural Space Debris Big	Point	350203	
